[transformers] The following generation flags are not valid and may be ignored: ['cache_implementation']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Loading weights: 100%|██████████| 340/340 [00:02<00:00, 153.80it/s]
  0%|          | 10/14955 [00:02<1:04:32,  3.86it/s]
{'loss': '6.155', 'grad_norm': '9.109', 'learning_rate': '4.997e-05', 'epoch': '0.002006'}
{'loss': '5.4', 'grad_norm': '9.537', 'learning_rate': '4.994e-05', 'epoch': '0.004012'}
{'loss': '4.566', 'grad_norm': '14.02', 'learning_rate': '4.99e-05', 'epoch': '0.006019'}
{'loss': '4.956', 'grad_norm': '22.34', 'learning_rate': '4.987e-05', 'epoch': '0.008025'}
{'loss': '4.959', 'grad_norm': '13.53', 'learning_rate': '4.984e-05', 'epoch': '0.01003'}
{'loss': '4.839', 'grad_norm': '8.223', 'learning_rate': '4.98e-05', 'epoch': '0.01204'}
{'loss': '4.725', 'grad_norm': '17.94', 'learning_rate': '4.977e-05', 'epoch': '0.01404'}
{'loss': '4.639', 'grad_norm': '8.891', 'learning_rate': '4.974e-05', 'epoch': '0.01605'}
{'loss': '4.606', 'grad_norm': '13.95', 'learning_rate': '4.97e-05', 'epoch': '0.01806'}
{'loss': '4.544', 'grad_norm': '18.72', 'learning_rate': '4.967e-05', 'epoch': '0.02006'}
{'loss': '4.281', 'grad_norm': '10.66', 'learning_rate': '4.964e-05', 'epoch': '0.02207'}
{'loss': '4.345', 'grad_norm': '14.39', 'learning_rate': '4.96e-05', 'epoch': '0.02407'}
{'loss': '4.329', 'grad_norm': '14.33', 'learning_rate': '4.957e-05', 'epoch': '0.02608'}
{'loss': '3.937', 'grad_norm': '21.98', 'learning_rate': '4.954e-05', 'epoch': '0.02809'}
{'loss': '4.071', 'grad_norm': '10.83', 'learning_rate': '4.95e-05', 'epoch': '0.03009'}
{'loss': '3.918', 'grad_norm': '10.64', 'learning_rate': '4.947e-05', 'epoch': '0.0321'}
{'loss': '3.843', 'grad_norm': '10.35', 'learning_rate': '4.943e-05', 'epoch': '0.03411'}
{'loss': '3.901', 'grad_norm': '11.98', 'learning_rate': '4.94e-05', 'epoch': '0.03611'}
{'loss': '3.41', 'grad_norm': '6.028', 'learning_rate': '4.937e-05', 'epoch': '0.03812'}
{'loss': '3.804', 'grad_norm': '10.24', 'learning_rate': '4.933e-05', 'epoch': '0.04012'}
{'loss': '3.385', 'grad_norm': '11.99', 'learning_rate': '4.93e-05', 'epoch': '0.04213'}
{'loss': '3.495', 'grad_norm': '15.1', 'learning_rate': '4.927e-05', 'epoch': '0.04414'}
{'loss': '3.693', 'grad_norm': '11.04', 'learning_rate': '4.923e-05', 'epoch': '0.04614'}
{'loss': '3.356', 'grad_norm': '20.15', 'learning_rate': '4.92e-05', 'epoch': '0.04815'}
{'loss': '3.522', 'grad_norm': '26.53', 'learning_rate': '4.917e-05', 'epoch': '0.05016'}
{'loss': '3.187', 'grad_norm': '10.43', 'learning_rate': '4.913e-05', 'epoch': '0.05216'}
{'loss': '3.418', 'grad_norm': '8.786', 'learning_rate': '4.91e-05', 'epoch': '0.05417'}
{'loss': '3.229', 'grad_norm': '7.748', 'learning_rate': '4.907e-05', 'epoch': '0.05617'}
{'loss': '3.139', 'grad_norm': '48.35', 'learning_rate': '4.903e-05', 'epoch': '0.05818'}
{'loss': '3.328', 'grad_norm': '10.5', 'learning_rate': '4.9e-05', 'epoch': '0.06019'}
{'loss': '3.221', 'grad_norm': '21.14', 'learning_rate': '4.897e-05', 'epoch': '0.06219'}
{'loss': '3.455', 'grad_norm': '10.93', 'learning_rate': '4.893e-05', 'epoch': '0.0642'}
{'loss': '3.017', 'grad_norm': '17.75', 'learning_rate': '4.89e-05', 'epoch': '0.06621'}
{'loss': '3.03', 'grad_norm': '13.57', 'learning_rate': '4.887e-05', 'epoch': '0.06821'}
{'loss': '3.277', 'grad_norm': '12.41', 'learning_rate': '4.883e-05', 'epoch': '0.07022'}
{'loss': '3.061', 'grad_norm': '8.645', 'learning_rate': '4.88e-05', 'epoch': '0.07222'}
{'loss': '3.123', 'grad_norm': '15.22', 'learning_rate': '4.877e-05', 'epoch': '0.07423'}
{'loss': '2.876', 'grad_norm': '19.3', 'learning_rate': '4.873e-05', 'epoch': '0.07624'}
{'loss': '3.145', 'grad_norm': '15.16', 'learning_rate': '4.87e-05', 'epoch': '0.07824'}
{'loss': '3.023', 'grad_norm': '9.752', 'learning_rate': '4.867e-05', 'epoch': '0.08025'}
{'loss': '2.906', 'grad_norm': '9.282', 'learning_rate': '4.863e-05', 'epoch': '0.08225'}
{'loss': '2.506', 'grad_norm': '11.97', 'learning_rate': '4.86e-05', 'epoch': '0.08426'}
{'loss': '3.119', 'grad_norm': '9.41', 'learning_rate': '4.857e-05', 'epoch': '0.08627'}
{'loss': '2.663', 'grad_norm': '7.759', 'learning_rate': '4.853e-05', 'epoch': '0.08827'}
{'loss': '2.961', 'grad_norm': '17.18', 'learning_rate': '4.85e-05', 'epoch': '0.09028'}
{'loss': '2.921', 'grad_norm': '11.22', 'learning_rate': '4.847e-05', 'epoch': '0.09229'}
{'loss': '2.855', 'grad_norm': '9.596', 'learning_rate': '4.843e-05', 'epoch': '0.09429'}
{'loss': '2.882', 'grad_norm': '20.28', 'learning_rate': '4.84e-05', 'epoch': '0.0963'}
{'loss': '2.865', 'grad_norm': '15.32', 'learning_rate': '4.837e-05', 'epoch': '0.0983'}
{'loss': '2.713', 'grad_norm': '9.952', 'learning_rate': '4.833e-05', 'epoch': '0.1003'}
{'loss': '2.906', 'grad_norm': '14.44', 'learning_rate': '4.83e-05', 'epoch': '0.1023'}
{'loss': '2.732', 'grad_norm': '10.36', 'learning_rate': '4.826e-05', 'epoch': '0.1043'}
{'loss': '2.712', 'grad_norm': '29.26', 'learning_rate': '4.823e-05', 'epoch': '0.1063'}
{'loss': '2.901', 'grad_norm': '22.44', 'learning_rate': '4.82e-05', 'epoch': '0.1083'}
{'loss': '2.609', 'grad_norm': '12.56', 'learning_rate': '4.816e-05', 'epoch': '0.1103'}
{'loss': '2.508', 'grad_norm': '8.279', 'learning_rate': '4.813e-05', 'epoch': '0.1123'}
{'loss': '2.618', 'grad_norm': '24.2', 'learning_rate': '4.81e-05', 'epoch': '0.1144'}
{'loss': '2.636', 'grad_norm': '15.65', 'learning_rate': '4.806e-05', 'epoch': '0.1164'}
{'loss': '2.397', 'grad_norm': '58.4', 'learning_rate': '4.803e-05', 'epoch': '0.1184'}
{'loss': '2.868', 'grad_norm': '13.09', 'learning_rate': '4.8e-05', 'epoch': '0.1204'}
{'loss': '2.733', 'grad_norm': '12.1', 'learning_rate': '4.796e-05', 'epoch': '0.1224'}
{'loss': '2.503', 'grad_norm': '7.05', 'learning_rate': '4.793e-05', 'epoch': '0.1244'}
{'loss': '2.837', 'grad_norm': '16.3', 'learning_rate': '4.79e-05', 'epoch': '0.1264'}
{'loss': '2.582', 'grad_norm': '12.06', 'learning_rate': '4.786e-05', 'epoch': '0.1284'}
{'loss': '2.517', 'grad_norm': '12.14', 'learning_rate': '4.783e-05', 'epoch': '0.1304'}
{'loss': '2.603', 'grad_norm': '6.489', 'learning_rate': '4.78e-05', 'epoch': '0.1324'}
{'loss': '3.132', 'grad_norm': '17.82', 'learning_rate': '4.776e-05', 'epoch': '0.1344'}
{'loss': '2.699', 'grad_norm': '116.2', 'learning_rate': '4.773e-05', 'epoch': '0.1364'}
{'loss': '2.534', 'grad_norm': '15.84', 'learning_rate': '4.77e-05', 'epoch': '0.1384'}
{'loss': '2.449', 'grad_norm': '12.8', 'learning_rate': '4.766e-05', 'epoch': '0.1404'}
{'loss': '2.889', 'grad_norm': '15.89', 'learning_rate': '4.763e-05', 'epoch': '0.1424'}
{'loss': '2.488', 'grad_norm': '25.2', 'learning_rate': '4.76e-05', 'epoch': '0.1444'}
{'loss': '2.484', 'grad_norm': '8.687', 'learning_rate': '4.756e-05', 'epoch': '0.1465'}
{'loss': '2.624', 'grad_norm': '19.34', 'learning_rate': '4.753e-05', 'epoch': '0.1485'}
{'loss': '3.027', 'grad_norm': '14.37', 'learning_rate': '4.75e-05', 'epoch': '0.1505'}
{'loss': '2.545', 'grad_norm': '23.27', 'learning_rate': '4.746e-05', 'epoch': '0.1525'}
{'loss': '2.486', 'grad_norm': '16.98', 'learning_rate': '4.743e-05', 'epoch': '0.1545'}
{'loss': '2.561', 'grad_norm': '14.19', 'learning_rate': '4.74e-05', 'epoch': '0.1565'}
{'loss': '2.646', 'grad_norm': '13.28', 'learning_rate': '4.736e-05', 'epoch': '0.1585'}
{'loss': '2.468', 'grad_norm': '15.08', 'learning_rate': '4.733e-05', 'epoch': '0.1605'}
{'loss': '2.241', 'grad_norm': '11.53', 'learning_rate': '4.73e-05', 'epoch': '0.1625'}
